N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
77,롯데지주,"34,500",0,0.00%,200,"36,194","104,909",11.27,"105,258",-5.05,-5.21,
78,한진칼,"60,800",500,+0.83%,"2,500","35,994","59,200",17.08,"195,608",-10.03,-17.56,
79,GS,"38,000",450,+1.20%,"5,000","35,308","92,915",19.07,"276,709",-41.21,6.26,
80,두산중공업,"13,850",450,-3.15%,"5,000","35,060","253,141",12.64,"4,089,678",-2.99,-14.73,
81,NH투자증권,"12,000",100,+0.84%,"5,000","33,769","281,409",14.59,"998,462",5.83,9.12,
82,현대차2우B,"92,400",900,+0.98%,"5,000","33,713","36,485",60.82,"135,798",22.08,N/A,
83,SKC,"88,500","2,600",+3.03%,"5,000","33,218","37,535",7.74,"452,066",39.28,3.86,
84,DB손해보험,"45,750",0,0.00%,500,"32,391","70,800",40.64,"138,140",5.83,6.92,
85,호텔신라,"82,300",0,0.00%,"5,000","32,301","39,248",20.74,"340,282",-24.98,20.16,
86,에스원,"84,800","1,900",+2.29%,500,"32,223","37,999",54.91,"138,509",22.32,11.32,
87,동서,"32,000","1,250",+4.07%,500,"31,904","99,700",4.70,"238,822",23.07,10.53,
88,두산퓨얼셀,"56,700",600,+1.07%,100,"31,465","55,494",13.69,"1,559,219",166.28,N/A,
89,더존비즈온,"104,000",0,0.00%,500,"31,310","30,106",45.36,"112,536",64.64,18.78,
90,키움증권,"133,500",500,-0.37%,"5,000","30,402","22,773",23.68,"151,783",5.89,16.97,
91,두산밥캣,"30,000",350,-1.15%,500,"30,075","100,249",20.43,"354,344",16.23,7.05,
92,GS건설,"37,000",0,0.00%,"5,000","29,636","80,098",27.50,"473,739",9.68,11.79,
93,대림산업,"84,900",800,-0.93%,"5,000","29,545","34,800",37.32,"476,849",4.49,11.74,
94,LG화학우,"383,000","7,500",+2.00%,"5,000","29,448","7,689",60.09,"37,666",35.78,N/A,
95,대우조선해양,"27,350",300,+1.11%,"5,000","29,344","107,291",8.99,"234,436",16.83,-1.22,
96,씨에스윈드,"167,500","15,000",+9.84%,500,"28,954","17,286",8.17,"489,517",55.30,9.92,
97,롯데쇼핑,"101,000",0,0.00%,"5,000","28,572","28,289",11.49,"74,204",-2.13,-8.14,
98,한국가스공사,"29,900",250,+0.84%,"5,000","27,602","92,313",8.64,"287,397",-5.50,0.48,
99,휠라홀딩스,"45,400",700,+1.57%,"1,000","27,582","60,752",46.53,"466,761",15.31,23.81,
100,대웅,"46,600",450,-0.96%,500,"27,094","58,142",5.63,"1,852,170",53.69,10.43,
101,현대오토에버,"127,500",0,0.00%,500,"26,775","21,000",1.75,"488,688",46.58,11.71,
102,TIGER 200,"37,230",150,+0.40%,0,"26,526","71,250",5.92,"1,121,477",N/A,N/A,
103,GS리테일,"34,400",100,+0.29%,"1,000","26,488","77,000",14.13,"224,283",15.68,6.25,
104,메리츠증권,"3,885",35,+0.91%,"1,000","26,261","675,962",12.52,"1,891,132",4.86,15.06,
105,삼성엔지니어링,"13,250",50,+0.38%,"5,000","25,970","196,000",24.86,"1,582,171",10.17,24.62,
106,만도,"53,900","1,700",+3.26%,"1,000","25,310","46,957",27.13,"1,088,475",-45.64,7.55,
107,한국항공우주,"25,650",500,+1.99%,"5,000","25,002","97,475",14.06,"1,596,278",18.89,15.84,
108,제일기획,"21,700",750,+3.58%,200,"24,964","115,041",32.15,"721,283",18.39,15.09,
109,한샘,"105,000",0,0.00%,"1,000","24,711","23,534",23.53,"137,311",36.87,7.32,
110,CJ,"82,300","1,300",+1.60%,"5,000","24,013","29,177",18.94,"78,850",13.67,6.24,
111,LS,"74,100","3,500",+4.96%,"5,000","23,860","32,200",11.93,"534,626","-1,029.17",0.80,
112,한화생명,"2,740",180,+7.03%,"5,000","23,798","868,530",7.63,"15,549,782",10.42,0.51,
113,신세계,"240,000",0,0.00%,"5,000","23,628","9,845",25.09,"81,127",-7.71,14.24,
114,일진머티리얼즈,"49,700","1,350",+2.79%,500,"22,917","46,111",7.82,"748,245",51.56,8.52,
115,팬오션,"4,200",80,+1.94%,"1,000","22,452","534,570",11.13,"5,126,200",16.60,5.49,
116,하이트진로,"32,000",100,+0.31%,"5,000","22,443","70,134",9.49,"392,998",30.25,-3.86,
117,BGF리테일,"127,000",500,-0.39%,"1,000","21,951","17,284",30.64,"56,127",16.78,26.46,
118,KODEX 200선물인버스2X,"2,855",20,-0.70%,0,"21,935","768,300",1.08,"132,911,651",N/A,N/A,
119,현대차우,"89,100","1,300",+1.48%,"5,000","21,702","24,357",54.13,"140,848",21.29,N/A,
120,현대해상,"24,200",50,+0.21%,500,"21,635","89,400",38.69,"490,004",5.94,6.23,
121,부광약품,"31,800","1,100",+3.58%,500,"20,618","64,838",5.06,"4,926,594","15,900.00",-2.00,
122,오뚜기,"557,000","2,000",+0.36%,"5,000","20,453","3,672",16.01,"4,923",18.82,7.79,
