N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"82,100",300,-0.36%,100,"4,901,191","5,969,783",54.72,"20,352,427",21.37,9.99,
2,SK하이닉스,"140,000","2,000",-1.41%,"5,000","1,019,203","728,002",50.01,"6,054,547",35.51,4.25,
3,LG화학,"904,000","39,000",+4.51%,"5,000","638,155","70,592",44.72,"542,302",84.46,1.84,
4,NAVER,"377,500","14,000",-3.58%,100,"620,094","164,263",57.36,"1,572,901",75.15,10.56,
5,삼성전자우,"72,200",900,-1.23%,100,"594,124","822,887",78.59,"2,698,849",18.80,N/A,
6,현대차,"235,000",0,0.00%,"5,000","502,120","213,668",30.75,"1,145,422",56.15,4.32,
7,삼성바이오로직스,"719,000","29,000",-3.88%,"2,500","475,726","66,165",10.48,"139,386",197.42,N/A,
8,삼성SDI,"671,000","7,000",-1.03%,"5,000","461,410","68,765",43.65,"427,792",82.17,4.54,
9,카카오,"471,000","11,000",-2.28%,500,"417,674","88,678",33.42,"707,086",-522.75,-5.81,
10,셀트리온,"301,500","5,000",-1.63%,"1,000","407,109","135,028",21.06,"460,101",81.49,11.19,
11,기아차,"81,100","2,400",+3.05%,"5,000","328,750","405,363",33.46,"6,052,461",37.69,6.50,
12,현대모비스,"305,000","5,500",-1.77%,"5,000","289,119","94,793",40.20,"424,122",18.60,7.28,
13,POSCO,"314,500","5,500",+1.78%,"5,000","274,203","87,187",52.29,"904,262",28.81,4.18,
14,LG전자,"148,500","2,500",+1.71%,"5,000","243,017","163,648",31.62,"1,473,423",32.25,0.22,
15,LG생활건강,"1,511,000","15,000",+1.00%,"5,000","235,991","15,618",45.47,"35,945",33.56,17.92,
16,SK이노베이션,"252,000","12,000",-4.55%,"5,000","233,013","92,466",22.96,"1,316,184",-9.58,-0.20,
17,삼성물산,"120,000","2,000",-1.64%,100,"224,264","186,887",14.72,"608,465",20.10,4.77,
18,엔씨소프트,"931,000","29,000",-3.02%,500,"204,392","21,954",50.15,"118,757",36.43,14.72,
19,SK텔레콤,"244,000","2,500",-1.01%,500,"197,020","80,746",36.38,"265,302",17.97,3.92,
20,KB금융,"47,000","1,200",+2.62%,"5,000","195,430","415,808",66.91,"4,053,507",5.73,8.92,
21,SK,"265,500","7,500",-2.75%,200,"186,807","70,360",21.31,"433,728","1,120.25",4.31,
22,신한지주,"34,000",50,-0.15%,"5,000","175,644","516,600",59.06,"4,449,536",4.88,9.09,
23,삼성생명,"80,400","2,100",+2.68%,500,"160,800","200,000",12.62,"1,142,929",16.15,3.26,
24,LG,"90,800","1,200",-1.30%,"5,000","156,682","172,557",34.96,"385,170",12.84,5.87,
25,한국전력,"23,000",350,-1.50%,"5,000","147,652","641,964",16.73,"1,806,500",159.72,-3.42,
26,삼성전기,"195,000",500,+0.26%,"5,000","145,653","74,694",34.66,"506,661",25.05,10.92,
27,삼성에스디에스,"187,500","1,500",-0.79%,500,"145,083","77,378",12.02,"152,779",27.68,11.76,
28,아모레퍼시픽,"237,000","8,000",-3.27%,500,"138,547","58,458",32.63,"268,941",381.03,5.36,
29,포스코케미칼,"161,000","2,000",+1.26%,500,"124,716","77,463",7.11,"647,842",361.80,11.57,
30,하나금융지주,"38,550",150,-0.39%,"5,000","115,743","300,242",67.57,"2,892,308",4.72,8.77,
31,롯데케미칼,"322,000","1,000",+0.31%,"5,000","110,367","34,275",26.73,"274,887",95.18,5.51,
32,KT&G,"79,700",300,+0.38%,"5,000","109,422","137,292",39.65,"441,752",11.13,12.32,
33,넷마블,"122,500","2,500",-2.00%,100,"105,211","85,886",23.65,"192,490",49.62,3.54,
34,S-Oil,"86,800",200,+0.23%,"2,500","97,722","112,583",76.34,"691,430",-11.64,1.01,
35,한온시스템,"17,250",300,+1.77%,100,"92,080","533,800",19.35,"3,127,375",65.59,14.98,
36,삼성화재,"183,000","2,500",+1.39%,500,"86,696","47,375",44.56,"232,268",13.38,4.85,
37,SK바이오팜,"109,500","1,000",-0.90%,500,"85,753","78,313",10.36,"757,441",-99.55,-313.66,
38,LG디스플레이,"22,500",200,-0.88%,"5,000","80,509","357,816",24.11,"3,369,242",-3.27,-22.35,
39,고려아연,"407,000","1,000",-0.25%,"5,000","76,801","18,870",22.49,"42,530",13.71,9.76,
40,한국조선해양,"107,000","1,000",-0.93%,"5,000","75,727","70,773",16.59,"414,527",354.30,1.40,
41,빅히트,"207,500","5,500",-2.58%,500,"73,919","35,624",8.86,"165,397",N/A,56.47,
42,현대글로비스,"193,500",500,-0.26%,500,"72,562","37,500",32.74,"197,344",10.88,11.25,
43,HMM,"21,950","1,650",+8.13%,"5,000","72,009","328,061",10.25,"22,772,095",-70.81,-55.46,
44,금호석유,"234,000","3,500",+1.52%,"5,000","71,294","30,468",27.15,"634,716",20.02,11.84,
45,한화솔루션,"43,950",750,-1.68%,"5,000","70,260","159,864",17.69,"1,312,031",-81.24,-4.02,
46,우리금융지주,"9,610",90,-0.93%,"5,000","69,410","722,268",25.01,"2,322,329",5.15,N/A,
47,KT,"26,000",300,-1.14%,"5,000","67,889","261,112",42.59,"1,147,691",11.08,4.61,
48,기업은행,"8,650",70,+0.82%,"5,000","63,894","738,664",10.75,"3,790,193",4.42,7.36,
49,CJ제일제당,"410,000","5,000",-1.20%,"5,000","61,722","15,054",24.67,"36,326",8.51,3.16,
50,미래에셋대우,"9,370",90,-0.95%,"5,000","60,466","645,316",14.64,"1,678,794",9.79,7.56,
